Time,"Acpitz,0","Acpitz,1",PackageId0,"Core0,Pkg0","Core1,Pkg0","Core2,Pkg0","Core3,Pkg0",Avg,Core 0,Core 1,Core 2,Core 3,package-0,"core,Pkg0","uncore,Pkg0","dram,Pkg0"
2022-02-24_02:16:54,27.8,29.8,49.0,49.0,40.0,36.0,39.0,25.8,98.6,0.5,2.4,1.4,29.9,17.6,0.0,3.7
2022-02-24_02:16:56,27.8,29.8,45.0,39.0,41.0,45.0,41.0,27.6,1.4,0.5,100.0,7.7,30.6,18.4,0.0,3.7
2022-02-24_02:16:58,27.8,29.8,46.0,38.0,40.0,46.0,41.0,26.0,1.0,1.4,100.0,1.5,29.5,17.3,0.0,3.7
2022-02-24_02:17:00,27.8,29.8,52.0,39.0,39.0,49.0,52.0,38.4,2.4,1.5,99.5,49.8,36.2,24.4,0.0,3.9
2022-02-24_02:17:02,27.8,29.8,52.0,38.0,40.0,50.0,52.0,50.8,2.4,1.0,100.0,98.6,42.1,30.9,0.0,3.9
2022-02-24_02:17:04,27.8,29.8,49.0,40.0,39.0,40.0,49.0,47.3,75.6,3.3,12.9,98.6,40.4,29.0,0.0,4.0
2022-02-24_02:17:07,27.8,29.8,47.0,38.0,40.0,47.0,41.0,27.2,2.4,5.1,90.3,11.4,29.8,17.6,0.0,3.8
2022-02-24_02:17:09,27.8,29.8,46.0,40.0,39.0,46.0,41.0,26.1,1.4,2.4,100.0,0.0,29.5,17.3,0.0,3.7
2022-02-24_02:17:11,27.8,29.8,49.0,38.0,38.0,37.0,49.0,28.1,12.1,2.4,61.5,36.2,30.9,18.7,0.0,3.9
2022-02-24_02:17:13,27.8,29.8,48.0,39.0,39.0,38.0,48.0,25.9,1.9,1.0,0.5,100.0,29.4,17.3,0.0,3.7
2022-02-24_02:17:15,27.8,29.8,49.0,38.0,40.0,39.0,49.0,25.7,1.0,1.0,1.0,100.0,29.3,17.2,0.0,3.7
2022-02-24_02:17:17,27.8,29.8,48.0,39.0,48.0,39.0,40.0,28.0,2.9,89.9,6.8,11.7,30.8,18.6,0.0,3.8
2022-02-24_02:17:19,27.8,29.8,46.0,39.0,46.0,39.0,40.0,25.7,1.4,100.0,0.5,0.5,29.7,17.4,0.0,3.7
2022-02-24_02:17:21,27.8,29.8,49.0,49.0,40.0,36.0,39.0,27.5,45.9,56.3,7.2,1.9,31.0,18.7,0.0,3.8
2022-02-24_02:17:23,27.8,29.8,50.0,50.0,40.0,36.0,39.0,26.0,100.0,2.4,0.5,0.5,30.1,17.7,0.0,3.7
2022-02-24_02:17:25,27.8,29.8,50.0,50.0,40.0,37.0,38.0,25.8,98.1,3.9,0.0,1.0,30.0,17.6,0.0,3.7
2022-02-24_02:17:27,27.8,29.8,48.0,39.0,50.0,39.0,40.0,25.9,0.5,100.0,1.0,1.9,30.0,17.7,0.0,3.7
2022-02-24_02:17:30,27.8,29.8,50.0,40.0,50.0,38.0,39.0,26.0,1.9,100.0,0.5,1.9,29.7,17.4,0.0,3.7
2022-02-24_02:17:32,27.8,29.8,47.0,39.0,41.0,47.0,40.0,28.1,6.3,50.2,53.1,1.4,30.8,18.5,0.0,3.8
2022-02-24_02:17:34,27.8,29.8,46.0,38.0,39.0,46.0,41.0,26.3,0.5,3.7,100.0,1.4,29.6,17.4,0.0,3.7
2022-02-24_02:17:36,27.8,29.8,47.0,46.0,41.0,37.0,47.0,27.9,6.3,3.3,88.5,13.5,30.7,18.5,0.0,3.8
2022-02-24_02:17:38,27.8,29.8,49.0,38.0,38.0,39.0,49.0,26.0,1.0,0.5,1.9,100.0,29.4,17.3,0.0,3.7
2022-02-24_02:17:40,27.8,29.8,48.0,38.0,37.0,39.0,48.0,25.9,0.5,1.0,1.9,100.0,29.3,17.2,0.0,3.7
2022-02-24_02:17:42,27.8,29.8,46.0,39.0,38.0,46.0,40.0,27.5,6.3,23.6,40.8,38.9,30.6,18.4,0.0,3.8
2022-02-24_02:17:44,27.8,29.8,47.0,38.0,38.0,47.0,41.0,26.0,1.9,0.5,100.0,1.0,29.7,17.4,0.0,3.7
2022-02-24_02:17:46,27.8,29.8,51.0,41.0,51.0,47.0,40.0,31.4,1.9,25.4,96.2,1.4,32.6,20.5,0.0,3.9
2022-02-24_02:17:48,27.8,29.8,51.0,42.0,51.0,49.0,41.0,50.8,1.5,98.6,100.0,2.4,42.5,31.2,0.0,4.0
2022-02-24_02:17:50,27.8,29.8,51.0,51.0,42.0,48.0,41.0,51.1,89.0,2.4,99.0,13.9,42.7,31.4,0.0,4.0
2022-02-24_02:17:52,27.8,29.8,47.0,38.0,39.0,46.0,41.0,32.7,52.9,1.5,46.9,28.7,33.1,21.0,0.0,3.9
2022-02-24_02:17:55,27.8,29.8,47.0,38.0,40.0,47.0,40.0,25.8,1.4,1.4,100.0,0.5,29.5,17.3,0.0,3.7
2022-02-24_02:17:57,27.8,29.8,42.0,40.0,40.0,42.0,42.0,26.0,1.4,1.9,99.0,1.4,29.6,17.4,0.0,3.8
2022-02-24_02:17:59,27.8,29.8,48.0,41.0,48.0,41.0,39.0,28.3,1.5,100.0,9.6,1.9,31.1,18.9,0.0,3.7
2022-02-24_02:18:01,27.8,29.8,47.0,40.0,47.0,38.0,39.0,25.9,0.0,100.0,1.0,1.9,29.8,17.5,0.0,3.7
2022-02-24_02:18:03,27.8,29.8,49.0,49.0,39.0,37.0,40.0,26.1,55.0,46.4,1.0,1.5,30.3,17.9,0.0,3.8
2022-02-24_02:18:05,27.8,29.8,49.0,49.0,40.0,38.0,41.0,25.7,100.0,1.0,0.0,1.9,29.9,17.5,0.0,3.7
2022-02-24_02:18:07,27.8,29.8,46.0,39.0,42.0,46.0,40.0,26.8,93.7,3.8,7.3,1.5,30.5,18.2,0.0,3.8
2022-02-24_02:18:09,27.8,29.8,46.0,39.0,39.0,46.0,42.0,26.8,1.0,3.4,100.0,2.4,30.2,17.9,0.0,3.7
2022-02-24_02:18:11,27.8,29.8,47.0,38.0,39.0,46.0,41.0,25.8,1.0,1.0,100.0,1.4,29.7,17.4,0.0,3.7
2022-02-24_02:18:13,27.8,29.8,49.0,38.0,40.0,37.0,48.0,28.2,4.2,6.7,35.3,66.8,30.5,18.4,0.0,3.8
2022-02-24_02:18:15,27.8,29.8,50.0,39.0,38.0,38.0,48.0,26.4,5.6,0.5,1.0,100.0,29.3,17.2,0.0,3.7
2022-02-24_02:18:17,27.8,29.8,46.0,38.0,39.0,46.0,40.0,28.1,1.9,9.9,23.2,78.0,30.5,18.4,0.0,3.8
2022-02-24_02:18:20,27.8,29.8,46.0,39.0,39.0,46.0,40.0,25.7,0.5,1.0,100.0,1.0,29.6,17.3,0.0,3.7
2022-02-24_02:18:22,27.8,29.8,46.0,39.0,40.0,46.0,40.0,26.2,1.4,2.4,100.0,1.0,29.7,17.4,0.0,3.7
2022-02-24_02:18:24,27.8,29.8,49.0,37.0,38.0,38.0,49.0,27.7,1.4,8.1,19.4,82.2,30.6,18.4,0.0,3.8
2022-02-24_02:18:26,27.8,29.8,49.0,38.0,39.0,37.0,49.0,25.8,0.5,1.4,1.0,100.0,29.4,17.2,0.0,3.7
2022-02-24_02:18:28,27.8,29.8,46.0,38.0,39.0,46.0,39.0,27.5,1.0,7.7,46.1,55.6,30.7,18.6,0.0,3.8
2022-02-24_02:18:30,27.8,29.8,46.0,38.0,39.0,46.0,40.0,25.8,0.5,0.5,100.0,1.9,29.7,17.4,0.0,3.7
2022-02-24_02:18:32,27.8,29.8,48.0,39.0,39.0,40.0,48.0,26.7,1.0,1.9,97.1,6.3,30.1,17.9,0.0,3.8
2022-02-24_02:18:34,27.8,29.8,51.0,40.0,41.0,49.0,51.0,50.8,2.4,0.5,99.5,99.5,42.3,31.0,0.0,3.9
2022-02-24_02:18:36,27.8,29.8,52.0,39.0,41.0,49.0,52.0,51.1,4.7,1.0,99.0,99.5,42.3,31.1,0.0,4.0
2022-02-24_02:18:38,27.8,29.8,49.0,39.0,39.0,38.0,50.0,36.8,1.9,3.8,62.1,79.9,35.1,23.3,0.0,3.9
2022-02-24_02:18:40,27.8,29.8,48.0,38.0,39.0,39.0,48.0,26.5,0.5,4.2,1.4,100.0,29.3,17.2,0.0,3.6
2022-02-24_02:18:42,27.8,29.8,49.0,38.0,39.0,38.0,50.0,26.3,0.5,3.8,1.4,100.0,29.4,17.3,0.0,3.7
2022-02-24_02:18:45,27.8,29.8,46.0,38.0,40.0,46.0,41.0,27.7,1.4,10.6,84.6,13.2,30.7,18.5,0.0,3.8
2022-02-24_02:18:47,27.8,29.8,48.0,38.0,39.0,48.0,41.0,25.8,1.0,0.5,100.0,1.9,29.5,17.2,0.0,3.7
2022-02-24_02:18:49,27.8,29.8,48.0,39.0,37.0,38.0,48.0,27.6,1.9,10.1,62.3,35.3,30.6,18.4,0.0,3.8
2022-02-24_02:18:51,27.8,29.8,49.0,37.0,38.0,38.0,49.0,26.1,2.4,1.4,1.4,100.0,29.3,17.2,0.0,3.7
2022-02-24_02:18:53,27.8,29.8,48.0,38.0,37.0,39.0,48.0,25.8,1.4,0.5,0.5,100.0,29.3,17.2,0.0,3.7
2022-02-24_02:18:55,27.8,29.8,46.0,38.0,40.0,47.0,39.0,27.7,2.9,6.7,85.2,15.5,30.8,18.5,0.0,3.8
2022-02-24_02:18:57,27.8,29.8,47.0,38.0,40.0,46.0,40.0,25.7,1.4,1.0,100.0,0.0,29.5,17.3,0.0,3.7
2022-02-24_02:18:59,27.8,29.8,49.0,39.0,49.0,39.0,40.0,27.6,1.9,34.0,72.9,1.0,30.7,18.5,0.0,3.8
2022-02-24_02:19:01,27.8,29.8,48.0,39.0,48.0,39.0,39.0,25.8,1.4,100.0,1.0,0.0,29.7,17.4,0.0,3.7
2022-02-24_02:19:03,27.8,29.8,48.0,39.0,48.0,39.0,40.0,25.8,1.9,100.0,0.5,1.4,29.7,17.4,0.0,3.7
2022-02-24_02:19:05,27.8,29.8,48.0,40.0,48.0,38.0,40.0,28.0,1.4,100.0,7.7,3.3,30.9,18.6,0.0,3.8
2022-02-24_02:19:07,27.8,29.8,47.0,38.0,47.0,39.0,38.0,27.0,1.4,100.0,6.5,1.0,29.8,17.5,0.0,3.7
2022-02-24_02:19:10,27.8,29.8,46.0,39.0,39.0,42.0,46.0,28.4,1.0,51.9,7.7,51.9,30.6,18.4,0.0,3.8
2022-02-24_02:19:12,27.8,29.8,49.0,39.0,37.0,37.0,49.0,25.8,1.4,0.0,0.5,100.0,29.5,17.4,0.0,3.7
2022-02-24_02:19:14,27.8,29.8,45.0,41.0,44.0,45.0,43.0,27.3,2.4,0.5,8.6,96.7,30.1,18.0,0.0,3.8
2022-02-24_02:19:16,27.8,29.8,47.0,38.0,40.0,47.0,40.0,26.2,1.5,0.5,100.0,2.4,29.8,17.6,0.0,3.7
2022-02-24_02:19:18,27.8,29.8,47.0,39.0,39.0,47.0,40.0,25.7,1.0,1.0,100.0,0.0,29.5,17.3,0.0,3.7
2022-02-24_02:19:20,27.8,29.8,49.0,48.0,40.0,40.0,49.0,40.1,60.1,1.4,43.0,55.8,36.9,25.2,0.0,3.9
2022-02-24_02:19:22,27.8,29.8,49.0,49.0,41.0,39.0,49.0,51.1,100.0,2.9,1.4,99.5,42.4,31.1,0.0,4.0
2022-02-24_02:19:24,27.8,29.8,50.0,39.0,39.0,39.0,50.0,48.0,87.6,2.9,1.9,99.5,41.0,29.5,0.0,4.0
2022-02-24_02:19:26,27.8,29.8,48.0,39.0,39.0,48.0,40.0,26.2,2.4,1.0,94.7,5.8,29.7,17.5,0.0,3.8
2022-02-24_02:19:28,27.8,29.8,46.0,38.0,41.0,46.0,40.0,26.0,1.4,2.4,100.0,1.0,29.6,17.4,0.0,3.7
2022-02-24_02:19:30,27.8,29.8,48.0,38.0,38.0,38.0,48.0,28.7,6.3,3.8,63.5,41.2,30.8,18.6,0.0,3.9
2022-02-24_02:19:32,27.8,29.8,51.0,38.0,39.0,38.0,48.0,26.4,1.0,4.7,1.4,100.0,29.2,17.1,0.0,3.7
2022-02-24_02:19:35,27.8,29.8,49.0,37.0,39.0,39.0,49.0,25.9,0.0,3.3,0.0,100.0,29.3,17.2,0.0,3.7
2022-02-24_02:19:37,27.8,29.8,46.0,39.0,40.0,46.0,40.0,27.7,1.0,1.9,90.3,17.7,30.7,18.5,0.0,3.8
2022-02-24_02:19:39,27.8,29.8,47.0,38.0,39.0,47.0,41.0,25.7,0.5,1.0,100.0,0.0,29.6,17.3,0.0,3.7
2022-02-24_02:19:41,27.8,29.8,49.0,49.0,40.0,37.0,41.0,27.9,43.5,2.4,58.0,7.7,30.7,18.5,0.0,3.8
2022-02-24_02:19:43,27.8,29.8,48.0,48.0,40.0,36.0,39.0,25.8,100.0,1.4,1.0,0.5,29.9,17.6,0.0,3.7
2022-02-24_02:19:45,27.8,29.8,49.0,49.0,40.0,37.0,39.0,26.2,96.7,2.4,3.9,1.4,30.2,17.8,0.0,3.8
2022-02-24_02:19:47,27.8,29.8,48.0,39.0,40.0,48.0,42.0,27.2,1.0,5.7,100.0,1.9,30.2,18.1,0.0,3.7
