Time,"Acpitz,0","Acpitz,1",PackageId0,"Core0,Pkg0","Core1,Pkg0","Core2,Pkg0","Core3,Pkg0",Avg,Core 0,Core 1,Core 2,Core 3,package-0,"core,Pkg0","uncore,Pkg0","dram,Pkg0"
2022-03-17_05:03:36,27.8,29.8,36.0,34.0,35.0,32.0,35.0,1.7,1.4,0.5,3.3,1.0,7.4,0.3,0.0,2.0
2022-03-17_05:03:38,27.8,29.8,35.0,34.0,34.0,34.0,34.0,2.7,1.4,2.8,4.6,1.9,7.4,0.3,0.0,2.0
2022-03-17_05:03:40,27.8,29.8,37.0,37.0,34.0,34.0,37.0,2.7,1.9,1.9,4.2,3.3,7.9,0.7,0.0,2.1
2022-03-17_05:03:42,27.8,29.8,43.0,36.0,37.0,42.0,37.0,15.0,8.5,5.6,37.5,9.0,18.3,8.5,0.0,3.3
2022-03-17_05:03:44,27.8,29.8,44.0,37.0,37.0,37.0,44.0,35.2,13.7,30.1,16.3,79.8,32.9,21.1,0.0,5.6
2022-03-17_05:03:47,27.8,29.8,43.0,39.0,43.0,36.0,38.0,30.0,41.7,61.1,5.3,11.2,30.9,18.8,0.0,5.2
2022-03-17_05:03:49,27.8,29.8,45.0,37.0,37.0,37.0,45.0,35.0,16.4,28.8,10.8,83.2,32.8,20.9,0.0,5.5
2022-03-17_05:03:51,27.8,29.8,44.0,38.0,39.0,44.0,41.0,32.2,9.8,7.9,83.3,26.2,32.1,20.1,0.0,5.5
2022-03-17_05:03:53,27.8,29.8,45.0,39.0,39.0,45.0,41.0,31.0,7.8,6.9,100.0,8.3,31.7,19.7,0.0,5.3
2022-03-17_05:03:55,27.8,29.8,43.0,43.0,39.0,37.0,40.0,32.5,85.1,9.7,24.6,9.7,32.1,20.1,0.0,5.4
2022-03-17_05:03:57,27.8,29.8,45.0,40.0,44.0,45.0,41.0,39.6,18.0,21.2,86.5,32.7,34.9,23.2,0.0,5.9
2022-03-17_05:03:59,27.8,29.8,45.0,39.0,45.0,38.0,40.0,31.9,9.1,86.5,22.4,10.8,31.6,19.5,0.0,5.3
2022-03-17_05:04:01,27.8,29.8,45.0,39.0,45.0,38.0,40.0,29.0,4.9,99.5,5.3,4.9,30.7,18.6,0.0,5.2
2022-03-17_05:04:03,27.8,29.8,45.0,39.0,45.0,38.0,40.0,29.6,6.7,99.5,4.9,6.6,30.9,18.8,0.0,5.2
2022-03-17_05:04:05,27.8,29.8,46.0,46.0,38.0,38.0,40.0,29.5,90.0,16.2,4.9,5.4,31.2,19.1,0.0,5.2
2022-03-17_05:04:07,27.8,29.8,46.0,46.0,40.0,38.0,40.0,28.7,96.6,4.4,8.3,4.9,30.9,18.8,0.0,5.2
2022-03-17_05:04:09,27.8,29.8,45.0,45.0,40.0,40.0,41.0,33.0,100.0,8.9,11.2,10.3,32.5,20.5,0.0,5.5
2022-03-17_05:04:12,27.8,29.8,46.0,39.0,46.0,38.0,40.0,32.2,26.1,50.5,43.2,9.2,32.2,20.2,0.0,5.4
2022-03-17_05:04:14,27.8,29.8,46.0,38.0,38.0,40.0,46.0,31.6,7.3,34.3,11.1,73.7,31.7,19.8,0.0,5.4
2022-03-17_05:04:16,27.8,29.8,45.0,41.0,39.0,42.0,44.0,35.5,17.5,12.3,16.1,95.2,33.4,21.6,0.0,5.7
2022-03-17_05:04:18,27.8,29.8,46.0,46.0,41.0,38.0,39.0,29.8,100.0,5.3,7.7,5.4,31.4,19.1,0.0,5.2
2022-03-17_05:04:20,27.8,29.8,46.0,46.0,40.0,40.0,40.0,28.9,99.5,5.8,4.9,4.4,30.9,18.6,0.0,5.2
2022-03-17_05:04:22,27.8,29.8,46.0,46.0,41.0,38.0,41.0,28.8,100.0,7.1,3.4,3.5,30.9,18.7,0.0,5.2
2022-03-17_05:04:24,27.8,29.8,47.0,41.0,47.0,41.0,40.0,29.4,7.7,97.6,6.2,4.8,30.8,18.6,0.0,5.2
