Time,"Acpitz,0","Acpitz,1",PackageId0,"Core0,Pkg0","Core1,Pkg0","Core2,Pkg0","Core3,Pkg0",Avg,Core 0,Core 1,Core 2,Core 3,package-0,"core,Pkg0","uncore,Pkg0","dram,Pkg0"
2022-03-10_02:32:18,27.8,29.8,35.0,33.0,33.0,31.0,34.0,2.3,1.0,1.9,2.4,3.8,8.8,0.4,0.0,3.5
2022-03-10_02:32:20,27.8,29.8,34.0,32.0,33.0,31.0,34.0,2.9,0.5,4.3,4.2,1.9,9.0,0.6,0.0,3.5
2022-03-10_02:32:22,27.8,29.8,35.0,33.0,34.0,31.0,35.0,1.8,0.5,3.8,1.4,2.4,8.8,0.4,0.0,3.5
2022-03-10_02:32:24,27.8,29.8,34.0,34.0,33.0,31.0,34.0,1.8,1.9,1.4,2.4,0.5,9.0,0.5,0.0,3.6
2022-03-10_02:32:26,27.8,29.8,36.0,34.0,33.0,31.0,36.0,1.9,2.4,2.4,1.0,2.9,8.9,0.5,0.0,3.5
2022-03-10_02:32:28,27.8,29.8,35.0,33.0,33.0,30.0,33.0,2.0,1.9,1.0,2.9,2.4,8.9,0.4,0.0,3.5
2022-03-10_02:32:30,27.8,29.8,36.0,33.0,32.0,32.0,34.0,1.4,0.5,1.4,0.5,3.3,8.8,0.4,0.0,3.5
2022-03-10_02:32:32,27.8,29.8,35.0,33.0,33.0,30.0,35.0,1.8,2.4,1.0,0.5,2.9,8.9,0.5,0.0,3.5
2022-03-10_02:32:34,27.8,29.8,35.0,34.0,33.0,32.0,34.0,1.7,1.0,1.0,2.9,2.4,8.8,0.4,0.0,3.5
2022-03-10_02:32:37,27.8,29.8,35.0,32.0,33.0,31.0,35.0,3.0,1.9,2.8,2.9,3.3,8.9,0.4,0.0,3.5
2022-03-10_02:32:39,27.8,29.8,33.0,34.0,32.0,31.0,34.0,2.0,2.4,1.9,2.9,1.9,8.9,0.5,0.0,3.5
2022-03-10_02:32:41,27.8,29.8,35.0,33.0,33.0,31.0,34.0,1.4,1.4,0.5,2.4,1.4,8.7,0.4,0.0,3.5
2022-03-10_02:32:43,27.8,29.8,35.0,34.0,33.0,31.0,34.0,1.6,1.4,0.5,2.4,1.5,8.7,0.3,0.0,3.5
2022-03-10_02:32:45,27.8,29.8,34.0,34.0,32.0,32.0,34.0,1.9,3.3,1.4,2.4,1.0,8.6,0.3,0.0,3.5
2022-03-10_02:32:47,27.8,29.8,34.0,32.0,33.0,32.0,35.0,2.4,3.9,2.4,1.0,1.4,8.9,0.4,0.0,3.5
2022-03-10_02:32:49,27.8,29.8,34.0,33.0,33.0,30.0,33.0,2.4,1.9,2.4,2.4,3.3,8.9,0.5,0.0,3.5
2022-03-10_02:32:51,27.8,29.8,34.0,34.0,34.0,32.0,35.0,1.7,0.0,3.3,1.9,1.9,8.7,0.3,0.0,3.5
2022-03-10_02:32:53,27.8,29.8,34.0,34.0,33.0,31.0,34.0,1.0,1.4,1.0,0.0,1.0,8.6,0.2,0.0,3.5
2022-03-10_02:32:55,27.8,29.8,34.0,33.0,34.0,31.0,35.0,1.4,2.4,1.9,1.4,0.5,8.7,0.3,0.0,3.5
2022-03-10_02:32:57,27.8,29.8,35.0,33.0,33.0,31.0,34.0,1.2,1.4,1.0,1.4,1.0,8.6,0.3,0.0,3.5
2022-03-10_02:33:00,27.8,29.8,34.0,34.0,34.0,31.0,34.0,1.6,1.9,1.9,1.4,1.0,8.6,0.2,0.0,3.5
2022-03-10_02:33:02,27.8,29.8,34.0,33.0,33.0,31.0,32.0,1.3,1.0,2.9,0.5,0.5,8.7,0.3,0.0,3.5
2022-03-10_02:33:04,27.8,29.8,34.0,33.0,34.0,31.0,34.0,1.0,0.0,1.4,1.4,1.0,8.5,0.2,0.0,3.5
2022-03-10_02:33:06,27.8,29.8,34.0,33.0,33.0,32.0,33.0,2.0,1.9,2.4,2.8,0.5,8.7,0.4,0.0,3.5
2022-03-10_02:33:08,27.8,29.8,34.0,34.0,33.0,31.0,35.0,0.7,1.0,0.5,1.4,1.4,8.6,0.3,0.0,3.5
2022-03-10_02:33:10,27.8,29.8,35.0,33.0,34.0,32.0,35.0,1.6,1.4,2.4,1.0,0.5,8.6,0.2,0.0,3.5
2022-03-10_02:33:12,27.8,29.8,35.0,33.0,32.0,31.0,35.0,1.6,2.9,0.5,1.9,1.0,8.8,0.4,0.0,3.5
2022-03-10_02:33:14,27.8,29.8,35.0,33.0,33.0,31.0,34.0,1.2,1.9,1.0,1.0,1.0,8.7,0.3,0.0,3.5
2022-03-10_02:33:16,27.8,29.8,34.0,33.0,33.0,31.0,33.0,1.0,1.9,0.5,1.0,1.0,8.6,0.2,0.0,3.5
2022-03-10_02:33:18,27.8,29.8,34.0,33.0,34.0,31.0,35.0,1.8,2.9,1.4,2.8,1.0,8.7,0.3,0.0,3.5
2022-03-10_02:33:21,27.8,29.8,35.0,33.0,33.0,31.0,34.0,1.1,2.4,0.5,0.5,0.0,8.6,0.2,0.0,3.5
2022-03-10_02:33:23,27.8,29.8,35.0,34.0,33.0,32.0,34.0,1.1,1.4,0.5,1.9,0.5,8.6,0.3,0.0,3.5
2022-03-10_02:33:25,27.8,29.8,34.0,34.0,33.0,31.0,34.0,1.4,1.4,1.9,0.5,1.9,8.7,0.3,0.0,3.5
2022-03-10_02:33:27,27.8,29.8,36.0,35.0,33.0,30.0,35.0,1.3,1.9,1.0,0.5,1.0,8.6,0.2,0.0,3.5
2022-03-10_02:33:29,27.8,29.8,35.0,34.0,33.0,31.0,35.0,0.8,1.4,1.0,1.0,0.5,8.6,0.3,0.0,3.5
2022-03-10_02:33:31,27.8,29.8,35.0,34.0,34.0,32.0,35.0,1.6,2.9,1.4,1.0,0.5,8.8,0.4,0.0,3.5
2022-03-10_02:33:33,27.8,29.8,35.0,33.0,33.0,31.0,35.0,1.2,1.4,1.9,1.4,1.4,8.6,0.2,0.0,3.5
2022-03-10_02:33:35,27.8,29.8,35.0,34.0,34.0,31.0,35.0,1.4,2.4,1.0,1.4,1.0,8.7,0.4,0.0,3.5
2022-03-10_02:33:37,27.8,29.8,34.0,33.0,33.0,30.0,36.0,1.2,1.9,1.4,0.5,1.0,8.6,0.2,0.0,3.5
2022-03-10_02:33:39,27.8,29.8,34.0,33.0,32.0,31.0,35.0,1.2,2.4,0.5,0.5,0.5,8.6,0.2,0.0,3.5
2022-03-10_02:33:41,27.8,29.8,34.0,35.0,33.0,32.0,34.0,1.7,1.4,1.4,1.0,2.4,8.8,0.4,0.0,3.5
2022-03-10_02:33:44,27.8,29.8,34.0,34.0,33.0,31.0,35.0,1.0,1.9,1.0,1.4,0.5,8.6,0.2,0.0,3.5
2022-03-10_02:33:46,27.8,29.8,34.0,34.0,33.0,31.0,34.0,0.7,1.4,1.0,0.5,0.5,8.6,0.3,0.0,3.5
2022-03-10_02:33:48,27.8,29.8,34.0,34.0,33.0,32.0,34.0,1.3,1.4,1.4,1.0,0.5,8.7,0.4,0.0,3.5
2022-03-10_02:33:50,27.8,29.8,35.0,34.0,34.0,32.0,36.0,1.6,2.4,0.5,2.4,1.9,8.6,0.2,0.0,3.5
2022-03-10_02:33:52,27.8,29.8,34.0,34.0,34.0,32.0,35.0,1.0,1.0,0.5,1.4,0.5,8.6,0.3,0.0,3.5
2022-03-10_02:33:54,27.8,29.8,35.0,35.0,33.0,31.0,35.0,1.3,0.5,3.8,0.5,1.0,8.7,0.3,0.0,3.5
2022-03-10_02:33:56,27.8,29.8,34.0,33.0,34.0,32.0,35.0,1.7,2.4,0.0,2.4,1.0,8.6,0.3,0.0,3.5
2022-03-10_02:33:58,27.8,29.8,35.0,33.0,34.0,30.0,35.0,1.2,1.0,0.5,2.9,1.0,8.7,0.4,0.0,3.5
2022-03-10_02:34:00,27.8,29.8,35.0,34.0,34.0,32.0,35.0,0.7,0.5,0.0,1.0,1.9,8.6,0.2,0.0,3.5
2022-03-10_02:34:02,27.8,29.8,35.0,34.0,34.0,31.0,35.0,1.2,1.4,1.0,1.0,1.4,8.6,0.2,0.0,3.5
2022-03-10_02:34:04,27.8,29.8,35.0,34.0,33.0,31.0,34.0,1.8,1.9,1.4,0.5,2.8,8.7,0.3,0.0,3.5
2022-03-10_02:34:07,27.8,29.8,36.0,34.0,35.0,31.0,35.0,0.8,1.9,0.5,1.4,0.0,8.6,0.2,0.0,3.5
2022-03-10_02:34:09,27.8,29.8,35.0,34.0,33.0,32.0,35.0,1.2,1.9,1.4,0.5,1.4,8.6,0.3,0.0,3.5
2022-03-10_02:34:11,27.8,29.8,35.0,35.0,33.0,31.0,34.0,1.9,1.9,1.4,2.9,1.0,8.8,0.4,0.0,3.5
2022-03-10_02:34:13,27.8,29.8,36.0,34.0,33.0,33.0,34.0,1.3,1.4,1.0,1.0,1.4,8.6,0.2,0.0,3.5
2022-03-10_02:34:15,27.8,29.8,35.0,34.0,33.0,31.0,33.0,1.1,1.9,1.4,0.5,1.0,8.6,0.2,0.0,3.5
2022-03-10_02:34:17,27.8,29.8,36.0,34.0,32.0,32.0,35.0,1.2,1.9,1.9,0.5,0.5,8.7,0.3,0.0,3.5
2022-03-10_02:34:19,27.8,29.8,34.0,34.0,33.0,31.0,34.0,1.4,3.3,1.0,1.0,1.0,8.6,0.3,0.0,3.5
2022-03-10_02:34:21,27.8,29.8,36.0,33.0,34.0,31.0,35.0,1.4,2.4,1.0,1.4,0.5,8.7,0.3,0.0,3.5
2022-03-10_02:34:23,27.8,29.8,35.0,34.0,33.0,31.0,34.0,1.3,1.0,2.4,1.4,0.5,8.8,0.3,0.0,3.5
2022-03-10_02:34:25,27.8,29.8,34.0,34.0,33.0,32.0,34.0,1.4,2.9,1.9,0.5,0.5,8.6,0.2,0.0,3.5
2022-03-10_02:34:27,27.8,29.8,35.0,33.0,32.0,32.0,34.0,1.4,1.0,1.9,2.4,0.5,8.7,0.4,0.0,3.5
